month_year,match_status,Police_district_Number,count
2018-06,Crime,1D,87
2018-06,Crime,2D,43
2018-06,Crime,3D,182
2018-06,Crime,4D,121
2018-06,Crime,5D,38
2018-06,Crime,6D,75
2018-06,Crime,TPPD,102
2018-06,Dispatch,1D,2795
2018-06,Dispatch,2D,2724
2018-06,Dispatch,3D,3363
2018-06,Dispatch,4D,3504
2018-06,Dispatch,5D,2398
2018-06,Dispatch,6D,3111
2018-06,Dispatch,OOC,1
2018-06,Dispatch,PCW,1
2018-06,Match,1D,298
2018-06,Match,2D,280
2018-06,Match,3D,338
2018-06,Match,4D,293
2018-06,Match,5D,171
2018-06,Match,6D,209
2018-07,Crime,1D,75
2018-07,Crime,2D,32
2018-07,Crime,3D,190
2018-07,Crime,4D,109
2018-07,Crime,5D,32
2018-07,Crime,6D,66
2018-07,Crime,TPPD,63
2018-07,Dispatch,1D,2845
2018-07,Dispatch,2D,2738
2018-07,Dispatch,3D,3437
2018-07,Dispatch,4D,3503
2018-07,Dispatch,5D,2419
2018-07,Dispatch,6D,2952
2018-07,Dispatch,OOC,4
2018-07,Dispatch,PCW,2
2018-07,Match,1D,320
2018-07,Match,2D,306
2018-07,Match,3D,338
2018-07,Match,4D,297
2018-07,Match,5D,155
2018-07,Match,6D,251
2018-08,Crime,1D,83
2018-08,Crime,2D,38
2018-08,Crime,3D,186
2018-08,Crime,4D,121
2018-08,Crime,5D,24
2018-08,Crime,6D,67
2018-08,Crime,TPPD,78
2018-08,Dispatch,1D,2783
2018-08,Dispatch,2D,2709
2018-08,Dispatch,3D,3258
2018-08,Dispatch,4D,3384
2018-08,Dispatch,5D,2286
2018-08,Dispatch,6D,2847
2018-08,Dispatch,OOC,1
2018-08,Match,1D,295
2018-08,Match,2D,315
2018-08,Match,3D,390
2018-08,Match,4D,314
2018-08,Match,5D,147
2018-08,Match,6D,253
2018-09,Crime,1D,61
2018-09,Crime,2D,47
2018-09,Crime,3D,150
2018-09,Crime,4D,105
2018-09,Crime,5D,28
2018-09,Crime,6D,64
2018-09,Crime,TPPD,61
2018-09,Dispatch,1D,2712
2018-09,Dispatch,2D,2481
2018-09,Dispatch,3D,3233
2018-09,Dispatch,4D,3317
2018-09,Dispatch,5D,2138
2018-09,Dispatch,6D,2720
2018-09,Dispatch,TRU,1
2018-09,Match,1D,298
2018-09,Match,2D,293
2018-09,Match,3D,349
2018-09,Match,4D,270
2018-09,Match,5D,159
2018-09,Match,6D,200
2018-09,Match,Unknown,1
2018-10,Crime,1D,62
2018-10,Crime,2D,34
2018-10,Crime,3D,151
2018-10,Crime,4D,115
2018-10,Crime,5D,37
2018-10,Crime,6D,70
2018-10,Crime,TPPD,79
2018-10,Crime,Unknown,1
2018-10,Dispatch,1D,2899
2018-10,Dispatch,2D,2712
2018-10,Dispatch,3D,3318
2018-10,Dispatch,4D,3416
2018-10,Dispatch,5D,2291
2018-10,Dispatch,6D,2894
2018-10,Match,1D,290
2018-10,Match,2D,279
2018-10,Match,3D,391
2018-10,Match,4D,272
2018-10,Match,5D,166
2018-10,Match,6D,213
2018-11,Crime,1D,57
2018-11,Crime,2D,30
2018-11,Crime,3D,135
2018-11,Crime,4D,122
2018-11,Crime,5D,26
2018-11,Crime,6D,57
2018-11,Crime,TPPD,70
2018-11,Dispatch,1D,2534
2018-11,Dispatch,2D,2560
2018-11,Dispatch,3D,3007
2018-11,Dispatch,4D,2932
2018-11,Dispatch,5D,2167
2018-11,Dispatch,6D,2634
2018-11,Dispatch,OOC,3
