month_year,match_status,category,count
2018-06,Crime,drug related,146
2018-06,Crime,fraud,18
2018-06,Crime,other,264
2018-06,Crime,sex crime,1
2018-06,Crime,sexual assault,16
2018-06,Crime,theft from auto,41
2018-06,Crime,theft from person,5
2018-06,Crime,theft from property,70
2018-06,Crime,theft of auto,8
2018-06,Crime,theft of parts,3
2018-06,Crime,traffic or accident,58
2018-06,Crime,violent crime,18
2018-06,Dispatch,no crime report,17897
2018-06,Match,domestic incident,5
2018-06,Match,drug related,35
2018-06,Match,fraud,85
2018-06,Match,other,320
2018-06,Match,runaway,10
2018-06,Match,sex crime,2
2018-06,Match,sexual assault,23
2018-06,Match,theft from auto,279
2018-06,Match,theft from person,30
2018-06,Match,theft from property,547
2018-06,Match,theft of auto,57
2018-06,Match,theft of parts,65
2018-06,Match,traffic or accident,15
2018-06,Match,violent crime,116
2018-07,Crime,domestic incident,2
2018-07,Crime,drug related,142
2018-07,Crime,fraud,16
2018-07,Crime,other,210
2018-07,Crime,runaway,3
2018-07,Crime,sex crime,4
2018-07,Crime,sexual assault,10
2018-07,Crime,theft from auto,18
2018-07,Crime,theft from person,4
2018-07,Crime,theft from property,71
2018-07,Crime,theft of auto,8
2018-07,Crime,theft of parts,3
2018-07,Crime,traffic or accident,60
2018-07,Crime,violent crime,16
2018-07,Dispatch,no crime report,17900
2018-07,Match,abduction,1
2018-07,Match,domestic incident,1
2018-07,Match,drug related,21
2018-07,Match,fraud,74
2018-07,Match,other,416
2018-07,Match,runaway,12
2018-07,Match,sexual assault,12
2018-07,Match,theft from auto,257
2018-07,Match,theft from person,24
2018-07,Match,theft from property,614
2018-07,Match,theft of auto,57
2018-07,Match,theft of parts,55
2018-07,Match,traffic or accident,13
2018-07,Match,violent crime,110
2018-08,Crime,domestic incident,1
2018-08,Crime,drug related,171
2018-08,Crime,fraud,16
2018-08,Crime,human trafficking,2
2018-08,Crime,other,202
2018-08,Crime,runaway,2
2018-08,Crime,sex crime,6
2018-08,Crime,sexual assault,7
2018-08,Crime,theft from auto,29
2018-08,Crime,theft from person,5
2018-08,Crime,theft from property,80
2018-08,Crime,theft of auto,3
2018-08,Crime,theft of parts,3
2018-08,Crime,traffic or accident,56
2018-08,Crime,violent crime,14
2018-08,Dispatch,no crime report,17268
2018-08,Match,domestic incident,4
2018-08,Match,drug related,26
2018-08,Match,fraud,94
2018-08,Match,other,419
2018-08,Match,runaway,13
2018-08,Match,sexual assault,19
2018-08,Match,theft from auto,288
2018-08,Match,theft from person,24
2018-08,Match,theft from property,559
2018-08,Match,theft of auto,49
2018-08,Match,theft of parts,63
2018-08,Match,traffic or accident,24
2018-08,Match,violent crime,132
2018-09,Crime,domestic incident,2
2018-09,Crime,drug related,114
2018-09,Crime,fraud,19
2018-09,Crime,other,189
2018-09,Crime,runaway,5
2018-09,Crime,sex crime,2
2018-09,Crime,sexual assault,15
2018-09,Crime,theft from auto,19
2018-09,Crime,theft from person,7
2018-09,Crime,theft from property,66
2018-09,Crime,theft of auto,1
2018-09,Crime,theft of parts,5
2018-09,Crime,traffic or accident,53
2018-09,Crime,violent crime,19
2018-09,Dispatch,no crime report,16602
2018-09,Match,drug related,26
2018-09,Match,fraud,63
2018-09,Match,other,412
2018-09,Match,runaway,11
2018-09,Match,sexual assault,18
2018-09,Match,theft from auto,242
2018-09,Match,theft from person,28
2018-09,Match,theft from property,528
2018-09,Match,theft of auto,44
2018-09,Match,theft of parts,54
2018-09,Match,traffic or accident,24
2018-09,Match,violent crime,120
2018-10,Crime,domestic incident,1
2018-10,Crime,drug related,123
2018-10,Crime,fraud,14
2018-10,Crime,human trafficking,1
2018-10,Crime,other,174
2018-10,Crime,runaway,1
2018-10,Crime,sex crime,2
2018-10,Crime,sexual assault,11
2018-10,Crime,theft from auto,33
2018-10,Crime,theft from person,3
2018-10,Crime,theft from property,88
2018-10,Crime,theft of auto,4
2018-10,Crime,theft of parts,7
2018-10,Crime,traffic or accident,63
2018-10,Crime,violent crime,24
