month_year,Crime Name1,Crime Name2,count
2018-06,Crime Against Not a Crime,Runaway,10
2018-06,Crime Against Person,Aggravated Assault,25
2018-06,Crime Against Person,Forcible Fondling,11
2018-06,Crime Against Person,Forcible Rape,16
2018-06,Crime Against Person,Forcible Sodomy,9
2018-06,Crime Against Person,Intimidation,1
2018-06,Crime Against Person,Murder and Nonnegligent Manslaughter,1
2018-06,Crime Against Person,Sexual Assault With An Object,3
2018-06,Crime Against Person,Simple Assault,106
2018-06,Crime Against Property,All other Larceny,142
2018-06,Crime Against Property,Burglary/Breaking and Entering,83
2018-06,Crime Against Property,Counterfeiting/Forgery,14
2018-06,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,37
2018-06,Crime Against Property,Destruction/Damage/Vandalism of Property,204
2018-06,Crime Against Property,Embezzlement,2
2018-06,Crime Against Property,Extortion/Blackmail,1
2018-06,Crime Against Property,False Pretenses/Swindle/Confidence Game,38
2018-06,Crime Against Property,From Coin/Operated Machine or Device,1
2018-06,Crime Against Property,Identity Theft,28
2018-06,Crime Against Property,Impersonation,4
2018-06,Crime Against Property,Motor Vehicle Theft,65
2018-06,Crime Against Property,Pocket/picking,4
2018-06,Crime Against Property,Purse-snatching,5
2018-06,Crime Against Property,Robbery,26
2018-06,Crime Against Property,Shoplifting,77
2018-06,Crime Against Property,Stolen Property Offenses,2
2018-06,Crime Against Property,Theft From Motor Vehicle,320
2018-06,Crime Against Property,Theft from Building,106
2018-06,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,68
2018-06,Crime Against Society,All Other Offenses,437
2018-06,Crime Against Society,Animal Cruelty,1
2018-06,Crime Against Society,Assisting or Promoting Prostitution,1
2018-06,Crime Against Society,Disorderly Conduct,35
2018-06,Crime Against Society,Driving Under the Influence,73
2018-06,Crime Against Society,Drug Equipment Violations,14
2018-06,Crime Against Society,Drug/Narcotic Violations,167
2018-06,Crime Against Society,"Family Offenses, NonViolent",5
2018-06,Crime Against Society,Liquor Law Violations,65
2018-06,Crime Against Society,Prostitution,2
2018-06,Crime Against Society,Trespass of Real Property,17
2018-06,Crime Against Society,Weapon Law Violations,11
2018-07,Crime Against Not a Crime,Runaway,15
2018-07,Crime Against Person,Aggravated Assault,23
2018-07,Crime Against Person,Forcible Fondling,9
2018-07,Crime Against Person,Forcible Rape,6
2018-07,Crime Against Person,Forcible Sodomy,4
2018-07,Crime Against Person,Intimidation,2
2018-07,Crime Against Person,Kidnapping/Abduction,1
2018-07,Crime Against Person,Sexual Assault With An Object,3
2018-07,Crime Against Person,Simple Assault,101
2018-07,Crime Against Property,All other Larceny,135
