month_year,Crime Name2,count
2018-06,Aggravated Assault,25
2018-06,All Other Offenses,437
2018-06,All other Larceny,142
2018-06,Animal Cruelty,1
2018-06,Assisting or Promoting Prostitution,1
2018-06,Burglary/Breaking and Entering,83
2018-06,Counterfeiting/Forgery,14
2018-06,Credit Card/Automatic Teller Machine Fraud,37
2018-06,Destruction/Damage/Vandalism of Property,204
2018-06,Disorderly Conduct,35
2018-06,Driving Under the Influence,73
2018-06,Drug Equipment Violations,14
2018-06,Drug/Narcotic Violations,167
2018-06,Embezzlement,2
2018-06,Extortion/Blackmail,1
2018-06,False Pretenses/Swindle/Confidence Game,38
2018-06,"Family Offenses, NonViolent",5
2018-06,Forcible Fondling,11
2018-06,Forcible Rape,16
2018-06,Forcible Sodomy,9
2018-06,From Coin/Operated Machine or Device,1
2018-06,Identity Theft,28
2018-06,Impersonation,4
2018-06,Intimidation,1
2018-06,Liquor Law Violations,65
2018-06,Motor Vehicle Theft,65
2018-06,Murder and Nonnegligent Manslaughter,1
2018-06,Pocket/picking,4
2018-06,Prostitution,2
2018-06,Purse-snatching,5
2018-06,Robbery,26
2018-06,Runaway,10
2018-06,Sexual Assault With An Object,3
2018-06,Shoplifting,77
2018-06,Simple Assault,106
2018-06,Stolen Property Offenses,2
2018-06,Theft From Motor Vehicle,320
2018-06,Theft from Building,106
2018-06,Theft of Motor Vehicle Parts or Accessories,68
2018-06,Trespass of Real Property,17
2018-06,Weapon Law Violations,11
2018-07,Aggravated Assault,23
2018-07,All Other Offenses,428
2018-07,All other Larceny,135
2018-07,Assisting or Promoting Prostitution,2
2018-07,Burglary/Breaking and Entering,105
2018-07,Counterfeiting/Forgery,25
2018-07,Credit Card/Automatic Teller Machine Fraud,31
2018-07,Curfew/Loitering/Vagrancy Violations,1
2018-07,Destruction/Damage/Vandalism of Property,190
2018-07,Disorderly Conduct,46
2018-07,Driving Under the Influence,73
2018-07,Drug Equipment Violations,12
2018-07,Drug/Narcotic Violations,151
2018-07,Embezzlement,9
2018-07,Extortion/Blackmail,2
2018-07,False Pretenses/Swindle/Confidence Game,30
2018-07,"Family Offenses, NonViolent",3
2018-07,Forcible Fondling,9
2018-07,Forcible Rape,6
2018-07,Forcible Sodomy,4
2018-07,Identity Theft,29
2018-07,Intimidation,2
2018-07,Kidnapping/Abduction,1
2018-07,Liquor Law Violations,88
2018-07,Motor Vehicle Theft,65
2018-07,Pocket/picking,4
2018-07,Prostitution,2
2018-07,Purse-snatching,2
2018-07,Robbery,22
2018-07,Runaway,15
2018-07,Sexual Assault With An Object,3
2018-07,Shoplifting,95
2018-07,Simple Assault,101
2018-07,Stolen Property Offenses,7
2018-07,Theft From Motor Vehicle,275
2018-07,Theft from Building,144
2018-07,Theft of Motor Vehicle Parts or Accessories,58
2018-07,Trespass of Real Property,27
2018-07,Weapon Law Violations,8
2018-07,Wire Fraud,1
2018-08,Aggravated Assault,20
2018-08,All Other Offenses,434
2018-08,All other Larceny,144
2018-08,Animal Cruelty,1
2018-08,Arson,1
2018-08,Assisting or Promoting Prostitution,2
2018-08,Burglary/Breaking and Entering,95
2018-08,Counterfeiting/Forgery,19
2018-08,Credit Card/Automatic Teller Machine Fraud,29
2018-08,Destruction/Damage/Vandalism of Property,192
2018-08,Disorderly Conduct,47
2018-08,Driving Under the Influence,80
2018-08,Drug Equipment Violations,18
2018-08,Drug/Narcotic Violations,179
2018-08,Embezzlement,4
2018-08,Extortion/Blackmail,1
2018-08,False Pretenses/Swindle/Confidence Game,40
2018-08,"Family Offenses, NonViolent",5
2018-08,Forcible Fondling,10
2018-08,Forcible Rape,11
2018-08,Forcible Sodomy,2
2018-08,From Coin/Operated Machine or Device,1
2018-08,"Human Trafficking, Commercial Sex Acts",2
2018-08,Identity Theft,41
2018-08,Intimidation,3
2018-08,Liquor Law Violations,72
2018-08,Motor Vehicle Theft,52
2018-08,Pocket/picking,6
2018-08,Prostitution,4
2018-08,Purse-snatching,2
2018-08,Robbery,21
2018-08,Runaway,15
2018-08,Sexual Assault With An Object,3
2018-08,Shoplifting,87
2018-08,Simple Assault,121
2018-08,Stolen Property Offenses,4
2018-08,Theft From Motor Vehicle,317
2018-08,Theft from Building,112
2018-08,Theft of Motor Vehicle Parts or Accessories,66
2018-08,Trespass of Real Property,29
2018-08,Weapon Law Violations,17
2018-08,Wire Fraud,2
2018-09,Aggravated Assault,22
2018-09,All Other Offenses,443
2018-09,All other Larceny,126
2018-09,Assisting or Promoting Prostitution,1
2018-09,Burglary/Breaking and Entering,70
2018-09,Counterfeiting/Forgery,20
2018-09,Credit Card/Automatic Teller Machine Fraud,25
2018-09,Destruction/Damage/Vandalism of Property,181
2018-09,Disorderly Conduct,37
2018-09,Driving Under the Influence,77
2018-09,Drug Equipment Violations,12
2018-09,Drug/Narcotic Violations,128
2018-09,Embezzlement,6
2018-09,Extortion/Blackmail,3
2018-09,False Pretenses/Swindle/Confidence Game,35
2018-09,"Family Offenses, NonViolent",2
2018-09,Forcible Fondling,18
2018-09,Forcible Rape,11
2018-09,Forcible Sodomy,3
2018-09,Identity Theft,22
2018-09,Impersonation,2
2018-09,Intimidation,3
2018-09,Liquor Law Violations,53
2018-09,Motor Vehicle Theft,45
2018-09,Murder and Nonnegligent Manslaughter,1
2018-09,Pocket/picking,7
2018-09,Prostitution,1
2018-09,Purse-snatching,5
2018-09,Robbery,23
2018-09,Runaway,16
2018-09,Sexual Assault With An Object,1
2018-09,Shoplifting,92
2018-09,Simple Assault,113
2018-09,Theft From Motor Vehicle,261
2018-09,Theft from Building,119
2018-09,Theft of Motor Vehicle Parts or Accessories,59
2018-09,Trespass of Real Property,29
2018-09,Weapon Law Violations,8
2018-09,Wire Fraud,6
2018-10,Aggravated Assault,20
2018-10,All Other Offenses,464
2018-10,All other Larceny,126
2018-10,Assisting or Promoting Prostitution,1
2018-10,Burglary/Breaking and Entering,78
2018-10,Counterfeiting/Forgery,15
2018-10,Credit Card/Automatic Teller Machine Fraud,20
2018-10,Curfew/Loitering/Vagrancy Violations,1
2018-10,Destruction/Damage/Vandalism of Property,150
2018-10,Disorderly Conduct,39
2018-10,Driving Under the Influence,91
2018-10,Drug Equipment Violations,10
2018-10,Drug/Narcotic Violations,149
2018-10,Embezzlement,2
2018-10,Extortion/Blackmail,3
2018-10,False Pretenses/Swindle/Confidence Game,44
2018-10,"Family Offenses, NonViolent",1
2018-10,Forcible Fondling,11
2018-10,Forcible Rape,9
2018-10,Forcible Sodomy,5
2018-10,From Coin/Operated Machine or Device,1
2018-10,"Human Trafficking, Commercial Sex Acts",2
2018-10,Identity Theft,33
2018-10,Intimidation,3
2018-10,Kidnapping/Abduction,1
2018-10,Liquor Law Violations,61
2018-10,Motor Vehicle Theft,55
2018-10,Pocket/picking,3
2018-10,Prostitution,1
2018-10,Purse-snatching,2
2018-10,Robbery,22
2018-10,Runaway,14
2018-10,Sexual Assault With An Object,2
2018-10,Shoplifting,90
2018-10,Simple Assault,128
2018-10,Theft From Motor Vehicle,295
2018-10,Theft from Building,121
2018-10,Theft of Motor Vehicle Parts or Accessories,50
2018-10,Trespass of Real Property,27
2018-10,Weapon Law Violations,10
2018-11,Aggravated Assault,21
2018-11,All Other Offenses,441
2018-11,All other Larceny,125
2018-11,Animal Cruelty,1
2018-11,Assisting or Promoting Prostitution,1
2018-11,Burglary/Breaking and Entering,68
2018-11,Counterfeiting/Forgery,6
2018-11,Credit Card/Automatic Teller Machine Fraud,16
2018-11,Destruction/Damage/Vandalism of Property,134
2018-11,Disorderly Conduct,25
2018-11,Driving Under the Influence,108
2018-11,Drug Equipment Violations,7
2018-11,Drug/Narcotic Violations,144
2018-11,Embezzlement,4
2018-11,False Pretenses/Swindle/Confidence Game,35
2018-11,"Family Offenses, NonViolent",3
2018-11,Forcible Fondling,8
2018-11,Forcible Rape,12
2018-11,Forcible Sodomy,5
2018-11,Identity Theft,33
2018-11,Impersonation,3
2018-11,Incest,1
2018-11,Intimidation,4
2018-11,Kidnapping/Abduction,1
2018-11,Liquor Law Violations,21
2018-11,Motor Vehicle Theft,59
2018-11,Pocket/picking,5
2018-11,Prostitution,1
2018-11,Purse-snatching,6
2018-11,Robbery,20
2018-11,Runaway,15
2018-11,Sexual Assault With An Object,6
2018-11,Shoplifting,87
2018-11,Simple Assault,105
2018-11,Stolen Property Offenses,2
2018-11,Theft From Motor Vehicle,254
2018-11,Theft from Building,138
2018-11,Theft of Motor Vehicle Parts or Accessories,64
2018-11,Trespass of Real Property,25
2018-11,Weapon Law Violations,7
2018-11,Wire Fraud,2
2018-12,Aggravated Assault,23
2018-12,All Other Offenses,412
2018-12,All other Larceny,167
2018-12,Assisting or Promoting Prostitution,4
2018-12,Burglary/Breaking and Entering,84
2018-12,Counterfeiting/Forgery,20
2018-12,Credit Card/Automatic Teller Machine Fraud,25
2018-12,Destruction/Damage/Vandalism of Property,155
2018-12,Disorderly Conduct,30
2018-12,Driving Under the Influence,99
2018-12,Drug Equipment Violations,11
2018-12,Drug/Narcotic Violations,149
2018-12,Embezzlement,7
2018-12,Extortion/Blackmail,3
2018-12,False Pretenses/Swindle/Confidence Game,42
2018-12,"Family Offenses, NonViolent",5
2018-12,Forcible Fondling,6
2018-12,Forcible Rape,7
2018-12,Forcible Sodomy,5
2018-12,"Human Trafficking, Commercial Sex Acts",2
2018-12,Identity Theft,47
2018-12,Impersonation,4
2018-12,Intimidation,10
2018-12,Kidnapping/Abduction,1
2018-12,Liquor Law Violations,23
2018-12,Motor Vehicle Theft,32
2018-12,Pocket/picking,7
2018-12,Pornography/Obscene Material,2
2018-12,Prostitution,3
2018-12,Purse-snatching,4
2018-12,Robbery,33
2018-12,Runaway,8
2018-12,Sexual Assault With An Object,2
2018-12,Shoplifting,78
2018-12,Simple Assault,107
2018-12,Theft From Motor Vehicle,238
2018-12,Theft from Building,147
2018-12,Theft of Motor Vehicle Parts or Accessories,50
2018-12,Trespass of Real Property,30
2018-12,Weapon Law Violations,13
2018-12,Wire Fraud,2
2019-01,Aggravated Assault,19
2019-01,All Other Offenses,405
2019-01,All other Larceny,94
2019-01,Animal Cruelty,1
2019-01,Arson,1
2019-01,Assisting or Promoting Prostitution,4
2019-01,Burglary/Breaking and Entering,63
2019-01,Counterfeiting/Forgery,23
2019-01,Credit Card/Automatic Teller Machine Fraud,24
2019-01,Destruction/Damage/Vandalism of Property,116
2019-01,Disorderly Conduct,16
2019-01,Driving Under the Influence,70
2019-01,Drug Equipment Violations,9
2019-01,Drug/Narcotic Violations,121
2019-01,Embezzlement,3
2019-01,Extortion/Blackmail,2
2019-01,False Pretenses/Swindle/Confidence Game,40
2019-01,"Family Offenses, NonViolent",5
2019-01,Forcible Fondling,16
2019-01,Forcible Rape,12
2019-01,Forcible Sodomy,4
2019-01,Identity Theft,61
2019-01,Impersonation,3
2019-01,Intimidation,3
2019-01,Liquor Law Violations,26
2019-01,Motor Vehicle Theft,47
2019-01,Murder and Nonnegligent Manslaughter,2
2019-01,Pocket/picking,3
2019-01,Prostitution,4
2019-01,Purse-snatching,5
2019-01,Robbery,25
2019-01,Runaway,17
2019-01,Sexual Assault With An Object,5
2019-01,Shoplifting,81
2019-01,Simple Assault,85
2019-01,Theft From Motor Vehicle,249
2019-01,Theft from Building,109
2019-01,Theft of Motor Vehicle Parts or Accessories,48
2019-01,Trespass of Real Property,29
2019-01,Weapon Law Violations,9
2019-01,Wire Fraud,2
2019-02,Aggravated Assault,10
2019-02,All Other Offenses,343
2019-02,All other Larceny,80
2019-02,Assisting or Promoting Prostitution,4
2019-02,Burglary/Breaking and Entering,59
2019-02,Counterfeiting/Forgery,17
2019-02,Credit Card/Automatic Teller Machine Fraud,22
2019-02,Destruction/Damage/Vandalism of Property,125
2019-02,Disorderly Conduct,36
2019-02,Driving Under the Influence,81
2019-02,Drug Equipment Violations,12
2019-02,Drug/Narcotic Violations,120
2019-02,Embezzlement,6
2019-02,Extortion/Blackmail,1
2019-02,False Pretenses/Swindle/Confidence Game,50
2019-02,"Family Offenses, NonViolent",7
2019-02,Forcible Fondling,8
2019-02,Forcible Rape,15
2019-02,Forcible Sodomy,7
2019-02,"Human Trafficking, Commercial Sex Acts",1
2019-02,Identity Theft,37
2019-02,Impersonation,2
2019-02,Intimidation,3
2019-02,Liquor Law Violations,35
2019-02,Motor Vehicle Theft,32
2019-02,Pocket/picking,3
2019-02,Prostitution,5
2019-02,Purse-snatching,1
2019-02,Robbery,18
2019-02,Runaway,19
2019-02,Sexual Assault With An Object,3
2019-02,Shoplifting,73
2019-02,Simple Assault,78
2019-02,Statuory Rape,1
2019-02,Theft From Motor Vehicle,226
2019-02,Theft from Building,82
2019-02,Theft of Motor Vehicle Parts or Accessories,47
2019-02,Trespass of Real Property,28
2019-02,Weapon Law Violations,8
2019-02,Wire Fraud,3
2019-03,Aggravated Assault,16
2019-03,All Other Offenses,388
2019-03,All other Larceny,104
2019-03,Animal Cruelty,1
2019-03,Assisting or Promoting Prostitution,1
2019-03,Burglary/Breaking and Entering,71
2019-03,Counterfeiting/Forgery,21
2019-03,Credit Card/Automatic Teller Machine Fraud,25
2019-03,Destruction/Damage/Vandalism of Property,144
2019-03,Disorderly Conduct,49
2019-03,Driving Under the Influence,89
2019-03,Drug Equipment Violations,8
2019-03,Drug/Narcotic Violations,162
2019-03,Embezzlement,3
2019-03,Extortion/Blackmail,4
2019-03,False Pretenses/Swindle/Confidence Game,31
2019-03,"Family Offenses, NonViolent",3
2019-03,Forcible Fondling,7
2019-03,Forcible Rape,6
2019-03,Forcible Sodomy,4
2019-03,Identity Theft,36
2019-03,Impersonation,2
2019-03,Incest,1
2019-03,Intimidation,2
2019-03,Kidnapping/Abduction,1
2019-03,Liquor Law Violations,29
2019-03,Motor Vehicle Theft,56
2019-03,Pocket/picking,8
2019-03,Pornography/Obscene Material,2
2019-03,Prostitution,1
2019-03,Purse-snatching,2
2019-03,Robbery,26
2019-03,Runaway,18
2019-03,Shoplifting,104
2019-03,Simple Assault,104
2019-03,Statuory Rape,1
2019-03,Theft From Motor Vehicle,239
2019-03,Theft from Building,114
2019-03,Theft of Motor Vehicle Parts or Accessories,54
2019-03,Trespass of Real Property,37
2019-03,Weapon Law Violations,13
2019-03,Wire Fraud,1
2019-04,Aggravated Assault,19
2019-04,All Other Offenses,423
2019-04,All other Larceny,122
2019-04,Assisting or Promoting Prostitution,1
2019-04,Burglary/Breaking and Entering,56
2019-04,Counterfeiting/Forgery,18
2019-04,Credit Card/Automatic Teller Machine Fraud,17
2019-04,Destruction/Damage/Vandalism of Property,165
2019-04,Disorderly Conduct,30
2019-04,Driving Under the Influence,79
2019-04,Drug Equipment Violations,10
2019-04,Drug/Narcotic Violations,150
2019-04,False Pretenses/Swindle/Confidence Game,29
2019-04,"Family Offenses, NonViolent",1
2019-04,Forcible Fondling,9
2019-04,Forcible Rape,8
2019-04,Forcible Sodomy,6
2019-04,"Human Trafficking, Commercial Sex Acts",1
2019-04,Identity Theft,35
2019-04,Impersonation,2
2019-04,Liquor Law Violations,38
2019-04,Motor Vehicle Theft,52
2019-04,Pocket/picking,4
2019-04,Purse-snatching,1
2019-04,Robbery,17
2019-04,Runaway,17
2019-04,Sexual Assault With An Object,1
2019-04,Shoplifting,87
2019-04,Simple Assault,97
2019-04,Statuory Rape,1
2019-04,Stolen Property Offenses,3
2019-04,Theft From Motor Vehicle,276
2019-04,Theft from Building,83
2019-04,Theft of Motor Vehicle Parts or Accessories,65
2019-04,Trespass of Real Property,18
2019-04,Weapon Law Violations,12
2019-04,Wire Fraud,3
2019-05,Aggravated Assault,24
2019-05,All Other Offenses,400
2019-05,All other Larceny,118
2019-05,Arson,2
2019-05,Assisting or Promoting Prostitution,1
2019-05,Burglary/Breaking and Entering,58
2019-05,Counterfeiting/Forgery,16
2019-05,Credit Card/Automatic Teller Machine Fraud,15
2019-05,Destruction/Damage/Vandalism of Property,202
2019-05,Disorderly Conduct,28
2019-05,Driving Under the Influence,74
2019-05,Drug Equipment Violations,4
2019-05,Drug/Narcotic Violations,130
2019-05,Embezzlement,3
2019-05,False Pretenses/Swindle/Confidence Game,27
2019-05,"Family Offenses, NonViolent",7
2019-05,Forcible Fondling,16
2019-05,Forcible Rape,6
2019-05,Forcible Sodomy,6
2019-05,"Human Trafficking, Commercial Sex Acts",1
2019-05,Identity Theft,35
2019-05,Impersonation,1
2019-05,Liquor Law Violations,49
2019-05,Motor Vehicle Theft,42
2019-05,Murder and Nonnegligent Manslaughter,1
2019-05,Pocket/picking,2
2019-05,Prostitution,1
2019-05,Purse-snatching,4
2019-05,Robbery,20
2019-05,Runaway,22
2019-05,Sexual Assault With An Object,3
2019-05,Shoplifting,82
2019-05,Simple Assault,106
2019-05,Stolen Property Offenses,1
2019-05,Theft From Motor Vehicle,285
2019-05,Theft from Building,107
2019-05,Theft of Motor Vehicle Parts or Accessories,84
2019-05,Trespass of Real Property,20
2019-05,Weapon Law Violations,8
2019-05,Wire Fraud,4
2019-06,Aggravated Assault,21
2019-06,All Other Offenses,359
2019-06,All other Larceny,137
2019-06,Arson,1
2019-06,Assisting or Promoting Prostitution,2
2019-06,Burglary/Breaking and Entering,56
2019-06,Counterfeiting/Forgery,19
2019-06,Credit Card/Automatic Teller Machine Fraud,20
2019-06,Destruction/Damage/Vandalism of Property,138
2019-06,Disorderly Conduct,28
2019-06,Driving Under the Influence,71
2019-06,Drug Equipment Violations,8
2019-06,Drug/Narcotic Violations,110
2019-06,Embezzlement,5
2019-06,False Pretenses/Swindle/Confidence Game,41
2019-06,"Family Offenses, NonViolent",3
2019-06,Forcible Fondling,9
2019-06,Forcible Rape,12
2019-06,Forcible Sodomy,4
2019-06,"Human Trafficking, Commercial Sex Acts",2
2019-06,Identity Theft,28
2019-06,Impersonation,3
2019-06,Intimidation,1
2019-06,Liquor Law Violations,31
2019-06,Motor Vehicle Theft,52
2019-06,Pocket/picking,6
2019-06,Pornography/Obscene Material,1
2019-06,Prostitution,3
2019-06,Purse-snatching,1
2019-06,Robbery,16
2019-06,Runaway,22
2019-06,Sexual Assault With An Object,4
2019-06,Shoplifting,76
2019-06,Simple Assault,106
2019-06,Statuory Rape,1
2019-06,Theft From Motor Vehicle,285
2019-06,Theft from Building,94
2019-06,Theft of Motor Vehicle Parts or Accessories,53
2019-06,Trespass of Real Property,23
2019-06,Weapon Law Violations,5
2019-06,Wire Fraud,1
2019-07,Aggravated Assault,23
2019-07,All Other Offenses,378
2019-07,All other Larceny,129
2019-07,Assisting or Promoting Prostitution,2
2019-07,Burglary/Breaking and Entering,80
2019-07,Counterfeiting/Forgery,24
2019-07,Credit Card/Automatic Teller Machine Fraud,18
2019-07,Destruction/Damage/Vandalism of Property,170
2019-07,Disorderly Conduct,23
2019-07,Driving Under the Influence,65
2019-07,Drug Equipment Violations,9
2019-07,Drug/Narcotic Violations,131
2019-07,Embezzlement,4
2019-07,Extortion/Blackmail,2
2019-07,False Pretenses/Swindle/Confidence Game,39
2019-07,"Family Offenses, NonViolent",8
2019-07,Forcible Fondling,11
2019-07,Forcible Rape,5
2019-07,Forcible Sodomy,5
2019-07,Identity Theft,45
2019-07,Impersonation,2
2019-07,Liquor Law Violations,37
2019-07,Motor Vehicle Theft,64
2019-07,Pocket/picking,6
2019-07,Prostitution,2
2019-07,Purse-snatching,2
2019-07,Robbery,19
