Victims,Crime Name1,Crime Name2,Agency,Place,match_status,Start_Time,Police_district_Number,category
,,,Unknown,,Dispatch,2020-03-14 17:46:37,1D,no crime report
,,,Unknown,,Dispatch,2021-09-09 13:38:30,3D,no crime report
,,,Unknown,,Dispatch,2024-06-12 12:08:59,6D,no crime report
,,,Unknown,,Dispatch,2024-02-14 03:48:45,6D,no crime report
,,,Unknown,,Dispatch,2019-04-03 09:13:56,2D,no crime report
,,,Unknown,,Dispatch,2019-06-27 19:00:44,6D,no crime report
,,,Unknown,,Dispatch,2022-07-21 13:18:53,2D,no crime report
,,,Unknown,,Dispatch,2019-04-29 15:20:57,2D,no crime report
,,,Unknown,,Dispatch,2020-07-11 22:02:19,2D,no crime report
,,,Unknown,,Dispatch,2019-02-03 14:31:59,4D,no crime report
