month_year,Agency,sum_victims
2018-06,GPD,82.0
2018-06,MCPD,1832.0
2018-06,RCPD,254.0
2018-06,TPPD,98.0
2018-06,Unknown,0.0
2018-07,GPD,102.0
2018-07,MCPD,1863.0
2018-07,RCPD,233.0
2018-07,TPPD,64.0
2018-07,Unknown,0.0
2018-08,GPD,108.0
2018-08,MCPD,1904.0
2018-08,RCPD,256.0
2018-08,TPPD,77.0
2018-08,Unknown,0.0
2018-09,GPD,92.0
2018-09,MCPD,1731.0
2018-09,RCPD,226.0
2018-09,TPPD,65.0
2018-09,Unknown,0.0
2018-10,GPD,66.0
2018-10,MCPD,1831.0
2018-10,RCPD,210.0
2018-10,TPPD,80.0
2018-10,Unknown,0.0
2018-11,GPD,88.0
2018-11,MCFM,2.0
2018-11,MCPD,1691.0
2018-11,MCSO,5.0
2018-11,RCPD,200.0
2018-11,TPPD,71.0
2018-11,Unknown,0.0
2018-12,GPD,82.0
2018-12,MCPD,1741.0
2018-12,RCPD,233.0
2018-12,TPPD,75.0
2018-12,Unknown,0.0
2019-01,GPD,80.0
2019-01,MCPD,1530.0
2019-01,RCPD,220.0
2019-01,TPPD,56.0
2019-01,Unknown,0.0
2019-02,GPD,63.0
2019-02,MCPD,1400.0
2019-02,RCPD,212.0
2019-02,TPPD,55.0
2019-02,Unknown,0.0
2019-03,GPD,82.0
2019-03,MCPD,1653.0
2019-03,RCPD,218.0
2019-03,TPPD,67.0
2019-03,Unknown,0.0
2019-04,GPD,68.0
2019-04,MCPD,1638.0
2019-04,RCPD,207.0
2019-04,TPPD,69.0
2019-04,Unknown,0.0
2019-05,GPD,76.0
2019-05,MCFM,3.0
2019-05,MCPD,1681.0
2019-05,RCPD,201.0
2019-05,TPPD,79.0
2019-05,Unknown,0.0
2019-06,GPD,77.0
2019-06,MCPD,1544.0
2019-06,RCPD,206.0
2019-06,TPPD,63.0
2019-06,Unknown,0.0
2019-07,GPD,86.0
2019-07,MCPD,1722.0
2019-07,RCPD,219.0
2019-07,TPPD,56.0
2019-07,Unknown,0.0
2019-08,GPD,84.0
2019-08,MCPD,1695.0
2019-08,RCPD,219.0
2019-08,TPPD,93.0
2019-08,Unknown,0.0
2019-09,GPD,105.0
2019-09,MCFM,2.0
2019-09,MCPD,1549.0
2019-09,RCPD,180.0
2019-09,TPPD,68.0
